time,task_success_ratio,vehicle_count,uav_count,avg_V2U_rate,avg_V2I_rate,avg_U2I_rate,compute_load_avg,vehicle_density,uav_density,junction_0_vehicle_count,junction_1_vehicle_count,junction_2_vehicle_count
17.0,0.9510309278350515,17,50,2.672083609813312,2.6426574311228688,4.320599933647985,0.0,2.445883058560886,7.193773701649665,2,1,0
18.0,0.9433497536945813,18,50,2.523634520379237,2.7344035603486154,4.1986916218741435,0.004878048780487805,2.5897585325938794,7.193773701649665,1,1,0
19.0,0.9474940334128878,19,50,2.948419421307272,3.016890857830881,4.497096436880535,0.0024390243902439024,2.7336340066268727,7.193773701649665,1,1,0
20.0,0.9389140271493213,20,50,2.8009984502419063,3.3514633549841766,4.2722416150365055,0.00681818181818182,2.877509480659866,7.193773701649665,1,1,0
21.0,0.9396551724137931,20,50,2.909684244920914,3.4003449926434595,4.331406969074632,0.006521739130434784,2.877509480659866,7.193773701649665,1,1,0
22.0,0.941544885177453,22,50,2.77742587015178,3.344200375762986,4.36335129310624,0.001843971631205674,3.1652604287258526,7.193773701649665,2,1,0
23.0,0.94,22,50,2.8859962629857456,3.198800359425463,4.309762021345959,0.012500000000000002,3.1652604287258526,7.193773701649665,2,1,0
24.0,0.9403846153846154,24,50,3.0854322915764105,3.065517011116067,4.130188603789875,0.009000000000000001,3.4530113767918396,7.193773701649665,2,0,0
25.0,0.9376146788990826,25,50,3.2544067035790722,2.9428963306714233,4.049674472844805,0.014771241830065361,3.5968868508248324,7.193773701649665,1,0,0
26.0,0.9447415329768271,25,50,3.129237214979876,2.914501094312623,4.640469931441342,0.015032679738562095,3.5968868508248324,7.193773701649665,1,0,0
27.0,0.9449225473321858,25,50,3.1322447168330205,2.929378251840753,4.857985600431543,0.007547169811320755,3.5968868508248324,7.193773701649665,1,0,0
28.0,0.9358552631578947,26,50,3.020378834088983,2.8247575999892964,5.0307162307081015,0.020802469135802467,3.7407623248578257,7.193773701649665,0,1,0
29.0,0.9453376205787781,29,50,2.916227839810052,2.727352165506906,5.00716730252462,0.009876543209876543,4.1723887469568055,7.193773701649665,0,2,0
30.0,0.9453978159126365,30,50,2.9217173456587955,2.636440426656675,4.912266388261939,0.010847457627118647,4.316264220989799,7.193773701649665,0,3,0
31.0,0.9464012251148545,31,50,2.82746839902464,2.5513939612806524,4.857999365223522,0.00737704918032787,4.460139695022792,7.193773701649665,0,4,0
32.0,0.9441176470588235,32,50,2.841559981086104,2.4716628999906316,4.841753708099076,0.003763440860215054,4.604015169055785,7.193773701649665,0,4,0
33.0,0.9471428571428572,33,50,3.088445430100253,2.396764024233339,4.98615366442271,0.004615384615384616,4.7478906430887795,7.193773701649665,0,4,0
34.0,0.9473684210526315,34,50,2.9976087998031855,2.3262709646970636,5.188279686896633,0.005597014925373135,4.891766117121772,7.193773701649665,0,5,0
35.0,0.9460916442048517,35,50,2.9751995471188284,2.259806079991433,5.040043124413872,0.0014492753623188408,5.035641591154766,7.193773701649665,0,4,0
36.0,0.9509933774834437,35,50,2.8925551152544156,2.1970336888805595,4.900041926513485,0.0018779342723004694,5.035641591154766,7.193773701649665,1,4,0
37.0,0.9485861182519281,35,50,2.8700565664858693,2.137654399991895,4.851468048767882,0.0018779342723004694,5.035641591154766,7.193773701649665,1,4,0
38.0,0.9413233458177278,35,50,2.822105266908445,2.164970228494891,4.838803737353182,0.005296803652968037,5.035641591154766,7.193773701649665,1,3,0
39.0,0.9451887941534713,37,50,2.7771167611368583,2.109458171353996,4.7421890159711655,0.004761904761904762,5.323392539220752,7.193773701649665,1,3,0
40.0,0.9421487603305785,39,50,2.7623280949015703,2.110441195722591,4.623634290571886,0.011476793248945148,5.611143487286738,7.193773701649665,1,3,0
41.0,0.945664739884393,40,50,2.694954238928361,2.0589670202171613,4.510862722509156,0.009071729957805908,5.755018961319732,7.193773701649665,1,3,0
42.0,0.9460067491563554,41,50,2.7101971234365974,2.0099439959262764,4.4538999904953105,0.007818930041152264,5.898894435352726,7.193773701649665,1,3,0
43.0,0.9538968166849616,41,50,2.8253373576823257,1.9632011123000837,4.3766326724268065,0.00321285140562249,5.898894435352726,7.193773701649665,1,3,0
44.0,0.949516648764769,44,50,2.761125145007727,1.9185829052023542,4.350036870106996,0.006265060240963856,6.330520857451705,7.193773701649665,1,4,0
45.0,0.9535864978902954,45,50,3.0875550317525335,1.8759477295311904,4.42767620294406,0.004761904761904762,6.474396331484698,7.193773701649665,1,5,0
46.0,0.9516460905349794,48,50,3.4509489377389078,1.9083479689511063,4.447066903646497,0.007450980392156864,6.906022753583679,7.193773701649665,1,6,2
47.0,0.94994994994995,49,50,3.470790619451945,1.8677448206755505,4.420427332623285,0.005813953488372093,7.049898227616672,7.193773701649665,1,6,2
48.0,0.9462890625,49,50,3.513388192509645,1.8532584693369891,4.328335096526965,0.014728682170542637,7.049898227616672,7.193773701649665,1,7,2
49.0,0.9458689458689459,50,50,3.5972188316990827,1.8154368679219484,4.240001727210088,0.01760299625468165,7.193773701649665,7.193773701649665,1,7,2
50.0,0.9494949494949495,51,50,3.699406711857166,1.8263084495123603,4.198046115115135,0.015462962962962965,7.3376491756826585,7.193773701649665,1,8,2
